il.,No. Daftar,No. Lesen,Nama Pemegang Lesen,Nama Premis,Alamat Premis,Tarikh Lesen Dikeluarkan,Tarikh Kuatkuasa Lesen,Tarikh Luput Lesen,Tarikh Pembatalan lesen,Jenis Perniagaan
1,AA0001/2021,17075,LAI CHOY YEE,FARMASI HARTAMAS,"75,Lebuh Lapangan Siber 1, Bandar Cyber,31350,Ipoh,Kinta,Perak",8/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
2,AA0002/2021,17076,AHMAD FAUZI BIN ABDUL MAJID,FARMASI HIDAYAH,"A/G 61-63 PENGKALAN EMAS MALL,Jalan Pasir Puteh,31650,Ipoh,Kinta,Perak",8/10/2020,1/1/2021,31/12/2021,,Runcit
3,AA0003/2021,17078,ONG JENN KEONG,AYER TAWAR MEDIHEALTH,"16,Jalan Seri Sentosa 1, Taman Medan Seri Sentosa,,32400,Ayer Tawar,Manjung,Perak",9/10/2020,1/1/2021,31/12/2021,,Runcit
4,AA0004/2021,17079,CHEONG WEI KIT,Great Health Medical Supplies Sdn Bhd,"103,Jalan Baldwin 3, Pusat Perniagaan Baldwin,,35000,Tapah,Batang Padang,Perak",9/10/2020,1/1/2021,31/12/2021,,Runcit
5,AA0005/2021,17080,ADELYN WONG SHUET-FERN,Paloh Medical Centre Sdn. Bhd. [Pantai Hospital Ipoh],"126,Jalan Tambun,31400,Ipoh,Kinta,Perak",11/10/2020,1/1/2021,31/12/2021,22/07/2021,Borong & Runcit
6,AA0006/2021,17081,AHMAD NA'IM BIN ABDUL RAHIM,NASRAC PHARMA SDN BHD [FARMASI NILAM],"NO 3 dan 3a,Jalan Bandar Baharu 1, Bandar Baharu Batu Gajah,31000,Batu Gajah,Kinta,Perak",11/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
7,AA0007/2021,17082,KOK WEN WEI@MICHAEL,KNL MEDICARE,"No.9,Lorong Cecil Rae, Canning Garden,31400,Ipoh,Kinta,Perak",11/10/2020,1/1/2021,31/12/2021,,Runcit
8,AA0008/2021,17083,WONG TUN-LIANG,Paloh Medical Centre Sdn. Bhd. [Pantai Hospital Ipoh],"126,Jalan Tambun,31400,Ipoh,Kinta,Perak",11/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
9,AA0009/2021,17084,TAY JIA JIA,Pantai Medical Centre Sdn Bhd [Pantai Hospital Manjung],"Lot 16001 (PT 17283),Jalan PPMP 1, Pusat Perniagaan Manjung Point,32040,Seri Manjung,Manjung,Perak",11/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
10,AA0010/2021,17085,GOVINDASAMY A/L ANNAMALAI,FARMASI SRISAI SDN BHD,"22,Jalan Cahaya, Taman Anggerik Desa,35900,Tanjung Malim,Muallim,Perak",11/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
11,AA0011/2021,17086,YIP HUI YING,Paloh Medical Centre Sdn. Bhd. [Pantai Hospital Ipoh],"126,Jalan Tambun,31400,Ipoh,Kinta,Perak",11/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
12,AA0012/2021,17087,TAN LAY KUAN,Good Care Medic Shop [Good Care Pharmacy],"5,Lorong 1, Taman Kayangan,,36400,Hutan Melintang,Hilir Perak,Perak",11/10/2020,1/1/2021,31/12/2021,,Runcit
13,AA0013/2021,17088,KOK HUI FEN,Healthlink Services Sdn Bhd [Anson Bay Medical Centre],"LOT 992, BATU 3.5,Jalan Maharaja Lela,36000,Teluk Intan,Hilir Perak,Perak",11/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
14,AA0014/2021,17089,RAM CHANDER VARMA A/L SARJEET LAL,Goodhealth Pharmacy,"8,Laluan Klebang Restu 2 Medan Klebang Restu,31200,Chemor,Kinta,Perak",11/10/2020,1/1/2021,31/12/2021,,Runcit
15,AA0015/2021,17090,NAZRI BIN MOHAMAD NOR,FARMASI R.S. SDN BHD,"No.361 & 363,,Jalan Silibin, Taman Saz,30100,Ipoh,Kinta,Perak",12/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
