Bil.,No. Daftar,No. Lesen,Nama Pemegang Lesen,Nama Premis,Alamat Premis,Tarikh Lesen Dikeluarkan,Tarikh Kuatkuasa Lesen,Tarikh Luput Lesen,Tarikh Pembatalan lesen,Jenis Perniagaan
1,PA0001/2021,23072,TAN MEI LING,Balik Pulau Health-Care [BPHC PHARMACY],"39,Jalan Besar,11000,Balik Pulau,Barat Daya,Pulau Pinang",7/10/2020,1/1/2021,31/12/2021,,Runcit
2,PA0002/2021,23073,HA SIAW HARN,Questra Clinical Research Sdn Bhd,"6,Jalan Desa Pauh, Taman Desa Pauh,13700,Permatang Pauh,Seberang Perai Tengah,Pulau Pinang",8/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
3,PA0003/2021,23074,KHO WOOI KOON,FARMASI MY-CHEMIST(B.M) SDN BHD [FARMASI MY-CHEMIST],"NO 8,Tingkat Bukit Minyak 9, Taman Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",8/10/2020,1/1/2021,31/12/2021,,Runcit
4,PA0004/2021,23075,TEO YIN HORNG,Adventist Hospital & Clinic Services (M) [Penang Adventist Hospital],"465,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",8/10/2020,1/1/2021,31/12/2021,,Runcit
5,PA0005/2021,23076,TAN WEI KHIM,Adventist Hospital & Clinic Services (M) [Penang Adventist Hospital],"465,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",8/10/2020,1/1/2021,31/12/2021,,Runcit
6,PA0006/2021,23077,YEOH GUAN PING,Milrin Pharmaceutical Co. (M) Sdn. Bhd. [Milrin Pharmaceutical Co. (M) Sdn. Bhd.],"125-L, 5th Floor,Wisma Getah, Jalan Macalister,10400,Georgetown,Timur Laut,Pulau Pinang",8/10/2020,1/1/2021,31/12/2021,,Borong
7,PA0007/2021,23078,TAN CHANG SOONG,Adventist Hospital & Clinic Services (M) [Penang Adventist Hospital],"465,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",8/10/2020,1/1/2021,31/12/2021,,Runcit
8,PA0008/2021,23079,ZURAIDA BINTI MOHD ILIAS,Duopharma Marketing Sdn Bhd [Duopharma Marketing Sdn Bhd],"No 7,Lorong Perda Timur 7, Bandar Perda,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",9/10/2020,1/1/2021,31/12/2021,,Borong
9,PA0009/2021,23080,TOO LING NEE,PUBLIC PHARMACY SDN. BHD. [Farmasi Public Sdn. Bhd.],"7,Lorong Tekukur Indah 2, Taman Tekukur Indah,14300,Nibong Tebal,Seberang Perai Selatan,Pulau Pinang",9/10/2020,1/1/2021,31/12/2021,,Runcit
10,PA0010/2021,23081,KEW MIAW FUNG,Apex Pharmacy Marketing Sdn Bhd [Pejabat Pemasaran Apex Pharma],"2, Ground Floor,Jalan Beringin, Batu Maung,11960,Bayan Lepas,Barat Daya,Pulau Pinang",9/10/2020,1/1/2021,31/12/2021,,Borong
