"","Bil.","No..Daftar","No..Lesen","Nama.Pemegang.Lesen","Nama.Premis","Alamat.Premis","Tarikh.Lesen.Dikeluarkan","Tarikh.Kuatkuasa.Lesen","Tarikh.Luput.Lesen","Tarikh.Pembatalan.lesen","Jenis.Perniagaan","latitude","longitude","geo_method"
"1",1,"PA0001/2021",23072,"TAN MEI LING","Balik Pulau Health-Care [BPHC PHARMACY]","39,Jalan Besar,11000,Balik Pulau,Barat Daya,Pulau Pinang","7/10/2020","1/1/2021","31/12/2021","","Runcit",5.350316,100.2349501,"google"
"2",2,"PA0002/2021",23073,"HA SIAW HARN","Questra Clinical Research Sdn Bhd","6,Jalan Desa Pauh, Taman Desa Pauh,13700,Permatang Pauh,Seberang Perai Tengah,Pulau Pinang","8/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.3782857,100.4188784,"google"
"3",3,"PA0003/2021",23074,"KHO WOOI KOON","FARMASI MY-CHEMIST(B.M) SDN BHD [FARMASI MY-CHEMIST]","NO 8,Tingkat Bukit Minyak 9, Taman Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","8/10/2020","1/1/2021","31/12/2021","","Runcit",5.3286801,100.4468121,"osm"
"4",4,"PA0004/2021",23075,"TEO YIN HORNG","Adventist Hospital & Clinic Services (M) [Penang Adventist Hospital]","465,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","8/10/2020","1/1/2021","31/12/2021","","Runcit",5.4314119,100.304825698411,"osm"
"5",5,"PA0005/2021",23076,"TAN WEI KHIM","Adventist Hospital & Clinic Services (M) [Penang Adventist Hospital]","465,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","8/10/2020","1/1/2021","31/12/2021","","Runcit",5.4314119,100.304825698411,"osm"
"6",6,"PA0006/2021",23077,"YEOH GUAN PING","Milrin Pharmaceutical Co. (M) Sdn. Bhd. [Milrin Pharmaceutical Co. (M) Sdn. Bhd.]","125-L, 5th Floor,Wisma Getah, Jalan Macalister,10400,Georgetown,Timur Laut,Pulau Pinang","8/10/2020","1/1/2021","31/12/2021","","Borong",5.417526,100.3202996,"google"
"7",7,"PA0007/2021",23078,"TAN CHANG SOONG","Adventist Hospital & Clinic Services (M) [Penang Adventist Hospital]","465,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","8/10/2020","1/1/2021","31/12/2021","","Runcit",5.4314119,100.304825698411,"osm"
"8",8,"PA0008/2021",23079,"ZURAIDA BINTI MOHD ILIAS","Duopharma Marketing Sdn Bhd [Duopharma Marketing Sdn Bhd]","No 7,Lorong Perda Timur 7, Bandar Perda,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","9/10/2020","1/1/2021","31/12/2021","","Borong",5.3706894,100.4429959,"osm"
"9",9,"PA0009/2021",23080,"TOO LING NEE","PUBLIC PHARMACY SDN. BHD. [Farmasi Public Sdn. Bhd.]","7,Lorong Tekukur Indah 2, Taman Tekukur Indah,14300,Nibong Tebal,Seberang Perai Selatan,Pulau Pinang","9/10/2020","1/1/2021","31/12/2021","","Runcit",5.17445,100.4677928,"google"
"10",10,"PA0010/2021",23081,"KEW MIAW FUNG","Apex Pharmacy Marketing Sdn Bhd [Pejabat Pemasaran Apex Pharma]","2, Ground Floor,Jalan Beringin, Batu Maung,11960,Bayan Lepas,Barat Daya,Pulau Pinang","9/10/2020","1/1/2021","31/12/2021","","Borong",5.2817235,100.2711164,"google"
"11",11,"PA0011/2021",23082,"LEAN CHUI CHAU","WELLINGS PILL HOUSE SDN BHD [GEORGETOWN PHARMACY]","20-1-3A, 05 & 06,Lintang Sungai Ara 7,11900,Bayan Lepas,Barat Daya,Pulau Pinang","9/10/2020","1/1/2021","31/12/2021","","Borong",5.3362933,100.2703807,"google"
"12",12,"PA0012/2021",23083,"YANG WAN SZE","SUMMIT COMPANY (MALAYSIA) SDN BHD [SUMMIT COMPANY (M) SDN BHD]","No. 1161, Mukim 16,JALAN PERUSAHAAN SUNGAI LOKAN 3, KAWASAN PERUSAHAAN ACKU, BAGAN LALLANG,13400,Butterworth,Seberang Perai Utara,Pulau Pinang","9/10/2020","1/1/2021","31/12/2021","","Borong",5.431577,100.411101,"google"
"13",13,"PA0013/2021",23084,"WONG SIEW KIM","Loh Guan Lye and Sons Sdn Bhd [Loh Guan Lye Specialists Centre]","19 & 21,Jalan Logan,10400,Georgetown,Timur Laut,Pulau Pinang","9/10/2020","1/1/2021","31/12/2021","30/06/2021","Runcit",5.42055705,100.317936153564,"osm"
"14",14,"PA0014/2021",23085,"LUAH LAY KUN","Adventist Hospital & Clinic Services (M) [Penang Adventist Hospital]","465,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","14/10/2020","1/1/2021","31/12/2021","","Runcit",5.4314119,100.304825698411,"osm"
"15",15,"PA0015/2021",23086,"CHAI SUET HONG","LOH GUAN LYE & SONS SDN BHD [LOH GUAN LYE SPECIALIST CENTRE]","238,Jalan Macalister,10400,Georgetown,Timur Laut,Pulau Pinang","14/10/2020","1/1/2021","31/12/2021","","Runcit",5.4201691,100.318096491066,"osm"
"16",16,"PA0016/2021",23087,"LOW HOOI HIANG","Campbell Pharmacy Sdn Bhd [Campbell Pharmacy Sdn Bhd]","110,Campbell Street,10100,Georgetown,Timur Laut,Pulau Pinang","14/10/2020","1/1/2021","31/12/2021","","Runcit",5.4182233,100.3331495,"osm"
"17",17,"PA0017/2021",23088,"LIM SIM YEE","Caring Pharmacy Sdn Bhd [Caring Pharmacy]","100-LG-12B, Queensbay Mall,Persiaran Bayan Indah, Bayan Bay,11900,Bayan Lepas,Barat Daya,Pulau Pinang","14/10/2020","1/1/2021","31/12/2021","","Runcit",5.3331774,100.3066084,"google"
"18",18,"PA0018/2021",23089,"HIA SIEW HONG","FARMASI BAGAN (BW) SDN BHD","4845,Jalan Kampung Benggali,12200,Butterworth,Seberang Perai Utara,Pulau Pinang","14/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.4494875,100.395546,"osm"
"19",19,"PA0019/2021",23091,"ANG HUI QIN","Adventist Hospital & Clinic Services (M) [Penang Adventist Hospital]","465,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","14/10/2020","1/1/2021","31/12/2021","","Runcit",5.4314119,100.304825698411,"osm"
"20",20,"PA0020/2021",23116,"ONG WUEY CHEN","Caring Pharmacy Sdn Bhd [Caring Pharmacy]","100-LG-12B,Queensbay Mall, Persiaran Bayan Indah,11900,Bayan Lepas,Barat Daya,Pulau Pinang","14/10/2020","1/1/2021","31/12/2021","","Runcit",5.3331774,100.3066084,"google"
"21",21,"PA0021/2021",23094,"HONG KHAI SHIEN","PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG]","No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang","14/10/2020","1/1/2021","31/12/2021","","Runcit",5.4259549,100.3182699,"osm"
"22",22,"PA0022/2021",23095,"GANESH RAO A/L SANNASI","Syarikat Tunas Pantai Sdn Bhd (Pantai Hospital Penang) [Pantai Hospital Penang]","82,Jalan Tengah,11900,Bayan Lepas,Barat Daya,Pulau Pinang","14/10/2020","1/1/2021","31/12/2021","29/01/2021","Borong & Runcit",5.32140215,100.282278347789,"osm"
"23",23,"PA0023/2021",23096,"TEOH KEANG NAM","FARMASI NAM","1137,Jalan Padang Kelab,13200,Kepala Batas,Seberang Perai Utara,Pulau Pinang","14/10/2020","1/1/2021","31/12/2021","","Runcit",5.5167493,100.4284866,"google"
"24",24,"PA0024/2021",23097,"YEOH HEE HUA","A-REMEDY PHARMACY SDN BHD [Farmasi A-Remedy]","3089,Jalan Rohzan, Taman Rohzan,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","14/10/2020","1/1/2021","31/12/2021","","Runcit",5.3256937,100.477718,"google"
"25",25,"PA0025/2021",23098,"SIM CHEE HWA","SIM PHARMACY [FARMASI SIM]","19A,Lintang Angsana, Bandar Baru Air Itam,11500,Air Itam,Timur Laut,Pulau Pinang","14/10/2020","1/1/2021","31/12/2021","","Runcit",5.3879733,100.2822949,"google"
"26",26,"PA0026/2021",23099,"CHONG QUEK FONG","Desa Pharmacy Sdn Bhd","248,Jalan Pasar,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","14/10/2020","1/1/2021","31/12/2021","","Runcit",5.315097,100.4429121,"osm"
"27",27,"PA0027/2021",23100,"LILLIAN TAN YONG-ERN","PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG]","No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang","14/10/2020","1/1/2021","31/12/2021","","Runcit",5.4259549,100.3182699,"osm"
"28",28,"PA0028/2021",23101,"TAN SOO THENG","Hospital Lam Wah Ee","141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang","15/10/2020","1/1/2021","31/12/2021","","Runcit",5.3911772,100.3128964,"osm"
"29",29,"PA0029/2021",23102,"SITI NABILA BINTI NASIR","HUSNI PHARMACY SDN BHD [FARMASI SRI PENANTI]","NO 114 MUKIM 20,Penanti,14400,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","15/10/2020","1/1/2021","31/12/2021","","Runcit",5.3985587,100.4664846,"google"
"30",30,"PA0030/2021",23103,"HO NEE LICK @ HO NEE MING","KAMI FARMING SDN BHD","PLOT 178,Lorong Perindustrian Bukit Minyak 17, Kawasan Perindustrian Bukit Minyak,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang","15/10/2020","1/1/2021","31/12/2021","","Borong",5.2979506,100.4502594,"google"
"31",31,"PA0031/2021",23107,"JASMINE DARYL RAJ A/P JOHN RAJ","Hospital Lam Wah Ee","141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang","15/10/2020","1/1/2021","31/12/2021","","Runcit",5.3911772,100.3128964,"osm"
"32",32,"PA0032/2021",23108,"ANG PUEK GEOK","BOON PHARMACY SDN BHD [BOON PHARMACY SDN BHD]","184,Campbell Street,10100,Georgetown,Timur Laut,Pulau Pinang","15/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.4188126,100.3320439,"osm"
"33",33,"PA0033/2021",23109,"LIM EE WEN","Hospital Lam Wah Ee","141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang","15/10/2020","1/1/2021","31/12/2021","","Runcit",5.3911772,100.3128964,"osm"
"34",34,"PA0034/2021",23110,"NURHUSNI BINTI MAHAD NOR","Husni Pharmacy Sdn Bhd [Farmasi Sri Penanti]","No 114,Jalan Kubang Semang Mk.20,14400,Kubang Semang,Seberang Perai Tengah,Pulau Pinang","15/10/2020","1/1/2021","31/12/2021","","Runcit",5.4103032,100.4383711,"google"
"35",35,"PA0035/2021",23111,"CHAN MING SEE","Hospital Lam Wah Ee","141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang","15/10/2020","1/1/2021","31/12/2021","","Runcit",5.3911772,100.3128964,"osm"
"36",36,"PA0036/2021",23112,"KENNETH HO KIAN KEET","INFO KINETICS SDN BHD","NO. 1, 5TH FLOOR,Jalan Pangkor, Gleneagles Penang,10050,Georgetown,Timur Laut,Pulau Pinang","15/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.4267879,100.3199707,"google"
"37",37,"PA0037/2021",23113,"OOI ZHI ANG","DYNAPHARM (M) SDN BHD","2497, MK 1,Lorong Perusahaan Baru 5, Kawasan Perusahaan Perai 3,13600,Perai,Seberang Perai Tengah,Pulau Pinang","15/10/2020","1/1/2021","31/12/2021","","Borong",5.364259,100.405788,"google"
"38",38,"PA0038/2021",23114,"FONG KAM HOI","Izuhan Pharmacy Sdn Bhd [Izuhan Pharmacy Sdn Bhd]","No. 94,Campbell Street,10460,Georgetown,Timur Laut,Pulau Pinang","15/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.4182233,100.3331495,"osm"
"39",39,"PA0039/2021",23115,"GOH EE JYE","Winwa Medical Sdn. Bhd. [Winwa Medical Sdn. Bhd.]","1952,Lorong IKS Bukit Minyak 3, Taman IKS Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","15/10/2020","1/1/2021","31/12/2021","","Borong",5.3285689,100.4586535,"google"
"40",40,"PA0040/2021",23117,"FREEDA THEAN SIEW YUIN","WINWA MEDICAL SDN BHD","1952,Lorong IKS Bukit Minyak 3, Taman IKS Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Borong",5.3285689,100.4586535,"google"
"41",41,"PA0041/2021",23118,"CHUA KONG SEENG","Hospital Lam Wah Ee","141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.3911772,100.3128964,"osm"
"42",42,"PA0042/2021",23119,"MOOI SHEE WEEN","Pulau Pinang Clinic Sdn Bhd [Gleneagles Penang]","No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.4259549,100.3182699,"osm"
